ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
 days,8,crm.aiHub.reviews.days, days, days,
No Data Available,8,crm.aiHub.reviews.noData,No Data Available,No Data Available,
No execution history,8,crm.aiHub.reviews.noHistory,No execution history,No execution history,
Tab Roles,8,crm.aiHub.reviews.tabRoles,Tab Roles,Tab Roles,
Unit Price,7,crm.aiHub.aiHub.unitPrice,Unit Price,Unit Price,
AI Analysis History,7,crm.aiHub.reviews.aiHistoryList,AI Analysis History,AI Analysis History,
AI Analysis Summary,7,crm.aiHub.reviews.aiSummary,AI Analysis Summary,AI Analysis Summary,
Avg Time,7,crm.aiHub.reviews.avgTime,Avg Time,Avg Time,
Biz Goal Setting,7,crm.aiHub.reviews.bizGoalSetting,Biz Goal Setting,Biz Goal Setting,
Brand Awareness Desc,7,crm.aiHub.reviews.brandAwarenessDesc,Brand Awareness Desc,Brand Awareness Desc,
Channel Role Definition,7,crm.aiHub.reviews.channelRoleDef,Channel Role Definition,Channel Role Definition,
Key Action Items,7,crm.aiHub.reviews.checklist,Key Action Items,Key Action Items,
Cost vs Performance Check,7,crm.aiHub.reviews.chkCostPerf,Cost vs Performance Check,Cost vs Performance Check,
Campaign Efficiency Check,7,crm.aiHub.reviews.chkEff,Campaign Efficiency Check,Campaign Efficiency Check,
Identify Items for Improvement,7,crm.aiHub.reviews.chkImprove,Identify Items for Improvement,Identify Items for Improvement,
Claude Ai Desc,7,crm.aiHub.reviews.claudeAiDesc,Claude Ai Desc,Claude Ai Desc,
Claude Ai Title,7,crm.aiHub.reviews.claudeAiTitle,Claude Ai Title,Claude Ai Title,
Click Select,7,crm.aiHub.reviews.clickSelect,Click Select,Click Select,
Community Act,7,crm.aiHub.reviews.communityAct,Community Act,Community Act,
Community Growth,7,crm.aiHub.reviews.communityGrowth,Community Growth,Community Growth,
Community Kpi,7,crm.aiHub.reviews.communityKpi,Community Kpi,Community Kpi,
Content Engage,7,crm.aiHub.reviews.contentEngage,Content Engage,Content Engage,
Content Impressions,7,crm.aiHub.reviews.contentImpressions,Content Impressions,Content Impressions,
Content Interest,7,crm.aiHub.reviews.contentInterest,Content Interest,Content Interest,
Content Kpi,7,crm.aiHub.reviews.contentKpi,Content Kpi,Content Kpi,
Large-scale brand exposure through SNS platform ads,7,crm.aiHub.reviews.descBrandReach,Large-scale brand exposure through SNS platform ads,Large-scale brand exposure through SNS platform ads,
Target users with high purchase intent via search algorithms,7,crm.aiHub.reviews.descCaptureIntent,Target users with high purchase intent via search algorithms,Target users with high purchase intent via search algorithms,
Conversion Rate vs Target,7,crm.aiHub.reviews.descConvRate,Conversion Rate vs Target,Conversion Rate vs Target,
Desc Cpa,7,crm.aiHub.reviews.descCpa,Desc Cpa,Desc Cpa,
Desc Cpc,7,crm.aiHub.reviews.descCpc,Desc Cpc,Desc Cpc,
Desc Ctr,7,crm.aiHub.reviews.descCtr,Desc Ctr,Desc Ctr,
Secure customer loyalty through community activities,7,crm.aiHub.reviews.descCustRel,Secure customer loyalty through community activities,Secure customer loyalty through community activities,
Build expertise and trust through problem-solving content,7,crm.aiHub.reviews.descInfoTrust,Build expertise and trust through problem-solving content,Build expertise and trust through problem-solving content,
Desc Roas,7,crm.aiHub.reviews.descRoas,Desc Roas,Desc Roas,
Hint Conv Rate,7,crm.aiHub.reviews.hintConvRate,Hint Conv Rate,Hint Conv Rate,
Hint Cpa,7,crm.aiHub.reviews.hintCpa,Hint Cpa,Hint Cpa,
Hint Cpc,7,crm.aiHub.reviews.hintCpc,Hint Cpc,Hint Cpc,
Hint Ctr,7,crm.aiHub.reviews.hintCtr,Hint Ctr,Hint Ctr,
Hint Roas,7,crm.aiHub.reviews.hintRoas,Hint Roas,Hint Roas,
