ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Attr Ai,1,pages.marketingIntel.marketingIntel.banner.attrAiSub,Attr Ai,Attr Ai,
All Normal,1,pages.marketingIntel.marketingIntel.banner.kpiAllNormal,All Normal,All Normal,
Rule Action,1,pages.marketingIntel.marketingIntel.banner.kpiRuleAction,Rule Action,Rule Action,
Rules Active,1,pages.marketingIntel.marketingIntel.banner.kpiRulesActive,Rules Active,Rules Active,
Rules Fired,1,pages.marketingIntel.marketingIntel.banner.kpiRulesFired,Rules Fired,Rules Fired,
Pnl Ai Action,1,pages.marketingIntel.marketingIntel.banner.pnlAiAction,Pnl Ai Action,Pnl Ai Action,
Pnl Budget Action,1,pages.marketingIntel.marketingIntel.banner.pnlBudgetAction,Pnl Budget Action,Pnl Budget Action,
Ch Name,1,pages.marketingIntel.marketingIntel.channelKpiPage.chName_,Ch Name,Ch Name,
Status error,1,pages.marketingIntel.marketingIntel.systemMonitor.status_error,Status error,Status error,
Status ok,1,pages.marketingIntel.marketingIntel.systemMonitor.status_ok,Status ok,Status ok,
Status warning,1,pages.marketingIntel.marketingIntel.systemMonitor.status_warning,Status warning,Status warning,
Camp Name,1,pages.marketingIntel.marketingIntel.unified.campName,Camp Name,Camp Name,
Mix Title,1,pages.marketingIntel.marketingIntel.unified.mixTitle,Mix Title,Mix Title,
Total Amt,1,pages.marketingIntel.marketingIntel.unified.totalAmt,Total Amt,Total Amt,
Mobile Cvr,1,pages.marketingIntel.mobileCvr,Mobile Cvr,Mobile Cvr,
New Cust Pct,1,pages.marketingIntel.newCustPct,New Cust Pct,New Cust Pct,
Node Settings,1,pages.marketingIntel.nodeSettings,Node Settings,Node Settings,
Order History,1,pages.marketingIntel.orderHistory,Order History,Order History,
Order Needed,1,pages.marketingIntel.orderNeeded,Order Needed,Order Needed,
Order Needed Sku,1,pages.marketingIntel.orderNeededSku,Order Needed Sku,Order Needed Sku,
Payment Key,1,pages.marketingIntel.paymentKey,Payment Key,Payment Key,
Platform Dist,1,pages.marketingIntel.platformDist,Platform Dist,Platform Dist,
Limited Features,1,pages.marketingIntel.pricing.limitedFeat,Limited Features,Limited Features,
Product Cost,1,pages.marketingIntel.productCost,Product Cost,Product Cost,
Purchase Cost,1,pages.marketingIntel.purchaseCost,Purchase Cost,Purchase Cost,
Campaign Pnl Risk,1,pages.marketingIntel.rollup.campaignPnlRisk,Campaign Pnl Risk,Campaign Pnl Risk,
Commission Per Post,1,pages.marketingIntel.rollup.commissionPerPost,Commission Per Post,Commission Per Post,
Loss Est Warning,1,pages.marketingIntel.rollup.lossEstWarning,Loss Est Warning,Loss Est Warning,
Pnl Cogs,1,pages.marketingIntel.rollup.pnlCogs,Pnl Cogs,Pnl Cogs,
Pnl Desc,1,pages.marketingIntel.rollup.pnlDesc,Pnl Desc,Pnl Desc,
Pnl Fx Loss,1,pages.marketingIntel.rollup.pnlFxLoss,Pnl Fx Loss,Pnl Fx Loss,
Net Revenue,1,pages.marketingIntel.rollup.pnlNetRev,Net Revenue,Net Revenue,
Pnl Return Loss,1,pages.marketingIntel.rollup.pnlReturnLoss,Pnl Return Loss,Pnl Return Loss,
Pnl Structure,1,pages.marketingIntel.rollup.pnlStructure,Pnl Structure,Pnl Structure,
Settlement Deduction,1,pages.marketingIntel.rollup.settleDeductWord,Settlement Deduction,Settlement Deduction,
10K KRW,1,pages.marketingIntel.rollup.unitTenThousand,10K KRW,10K KRW,
Root_page Title_channel Kpi2,1,pages.marketingIntel.root_pageTitle_channelKpi2,Root_page Title_channel Kpi2,Root_page Title_channel Kpi2,
Sku Analysis,1,pages.marketingIntel.skuAnalysis,Sku Analysis,Sku Analysis,
Sku Forecast,1,pages.marketingIntel.skuForecast,Sku Forecast,Sku Forecast,
Top Margin SKU,1,pages.marketingIntel.skuTopMargin,Top Margin SKU,Sku Top Margin,
Summary Orders,1,pages.marketingIntel.summaryOrders,Summary Orders,Summary Orders,
Tab Ai,1,pages.marketingIntel.tabAi,Tab Ai,Tab Ai,
Tab Ai Desc,1,pages.marketingIntel.tabAiDesc,Tab Ai Desc,Tab Ai Desc,
Tab Auto,1,pages.marketingIntel.tabAuto,Tab Auto,Tab Auto,
Tab Auto Desc,1,pages.marketingIntel.tabAutoDesc,Tab Auto Desc,Tab Auto Desc,
Tab Funnel,1,pages.marketingIntel.tabFunnel,Tab Funnel,Tab Funnel,
Tab Funnel Desc,1,pages.marketingIntel.tabFunnelDesc,Tab Funnel Desc,Tab Funnel Desc,
Tab Kpi,1,pages.marketingIntel.tabKpi,Tab Kpi,Tab Kpi,
Tab Kpi Desc,1,pages.marketingIntel.tabKpiDesc,Tab Kpi Desc,Tab Kpi Desc,
Today Ad Spend,1,pages.marketingIntel.todayAdSpend,Today Ad Spend,Today Ad Spend,
Top Creators,1,pages.marketingIntel.topCreators,Top Creators,Top Creators,
Total Followers,1,pages.marketingIntel.totalFollowers,Total Followers,Total Followers,
Total Purchases,1,pages.marketingIntel.totalPurchases,Total Purchases,Total Purchases,
Total Rev Contrib,1,pages.marketingIntel.totalRevContrib,Total Rev Contrib,Total Rev Contrib,
Add User,1,pages.marketingIntel.userMgmt.addUser,Add User,Add User,
✉️ Email,1,pages.marketingIntel.userMgmt.email,✉️ Email,✉️ Email,
Invite Email,1,pages.marketingIntel.userMgmt.inviteEmail,Invite Email,Invite Email,
Invite Title,1,pages.marketingIntel.userMgmt.inviteTitle,Invite Title,Invite Title,
Last Login,1,pages.marketingIntel.userMgmt.lastLogin,Last Login,Last Login,
No Users,1,pages.marketingIntel.userMgmt.noUsers,No Users,No Users,
Resend Invite,1,pages.marketingIntel.userMgmt.resendInvite,Resend Invite,Resend Invite,
Send Invite,1,pages.marketingIntel.userMgmt.sendInvite,Send Invite,Send Invite,
Tab Invite,1,pages.marketingIntel.userMgmt.tabInvite,Tab Invite,Tab Invite,
Tab Users,1,pages.marketingIntel.userMgmt.tabUsers,Tab Users,Tab Users,
Verdict Bad,1,pages.marketingIntel.verdictBad,Verdict Bad,Verdict Bad,
Verdict Good,1,pages.marketingIntel.verdictGood,Verdict Good,Verdict Good,
Coupon Code,1,pages.mobile.adminCoupon.codeLabel,Coupon Code,Coupon Code,
Code Placeholder,1,pages.mobile.adminCoupon.codePlaceholder,Code Placeholder,Code Placeholder,
Code / Recipient,1,pages.mobile.adminCoupon.colCode,Code / Recipient,Code / Recipient,
Email Placeholder,1,pages.mobile.adminCoupon.emailPlaceholder,Email Placeholder,Email Placeholder,
Issue Coupon,1,pages.mobile.adminCoupon.issueBtn,Issue Coupon,Issue Coupon,
Email Notifications,1,pages.mobile.adminCoupon.notifyEmail,Email Notifications,Email Notification,
1 month,1,pages.mobile.adminCoupon.period1m,1 month,1 month,
1 year,1,pages.mobile.adminCoupon.period1y,1 year,1 year,
2 months,1,pages.mobile.adminCoupon.period2m,2 months,2 months,
3 months,1,pages.mobile.adminCoupon.period3m,3 months,3 months,
6 months,1,pages.mobile.adminCoupon.period6m,6 months,6 months,
Tab Auto Rules,1,pages.mobile.adminCoupon.tabAutoRules,Tab Auto Rules,Tab Auto Rules,
🎟 Issue Coupon,1,pages.mobile.adminCoupon.tabIssue,🎟 Issue Coupon,🎟 Issue Coupon,
Free Coupon Management,1,pages.mobile.adminCoupon.tabTitle,Free Coupon Management,Free Coupon Management,
Total Issued,1,pages.mobile.adminCoupon.totalIssued,Total Issued,Total Issued,
Average ROAS,1,pages.mobile.avgRoas,Average ROAS,Average ROAS,
No available coupons.,1,pages.mobile.coupon.emptyAvailable,No available coupons.,No available coupons.,
No expired coupons.,1,pages.mobile.coupon.emptyExpired,No expired coupons.,No expired coupons.,
"If you have a coupon code, enter it above.",1,pages.mobile.coupon.emptyHint,"If you have a coupon code, enter it above.","If you have a coupon code, enter it above.",
No used coupons.,1,pages.mobile.coupon.emptyUsed,No used coupons.,No used coupons.,
"Ask about P&L, ROAS, return rates...",1,pages.mobile.coupon.inputPlaceholder,"Ask about P&L, ROAS, return rates...","Ask about P&L, ROAS, return rates...",
Invalid coupon code,1,pages.mobile.coupon.invalidCode,Invalid coupon code,Invalid coupon code,
🎉 Redeem Coupon,1,pages.mobile.coupon.modalConfirm,🎉 Redeem Coupon,🎉 Redeem Coupon,
Enter coupon code to instantly activate the plan.,1,pages.mobile.coupon.modalSub,Enter coupon code to instantly activate the plan.,Enter coupon code to instantly activate the plan.,
🎟 Redeem Coupon,1,pages.mobile.coupon.modalTitle,🎟 Redeem Coupon,🎟 Redeem Coupon,
Network Error,1,pages.mobile.coupon.networkError,Network Error,Network Error,
Redeem Coupon,1,pages.mobile.coupon.redeemBtn,Redeem Coupon,Redeem Coupon,
✅ Available,1,pages.mobile.coupon.tabAvailable,✅ Available,✅ Available,
⏰ Expired,1,pages.mobile.coupon.tabExpired,⏰ Expired,⏰ Expired,
✔ Used,1,pages.mobile.coupon.tabUsed,✔ Used,✔ Used,
Use →,1,pages.mobile.coupon.useBtn,Use →,Use →,
All Teams,1,pages.perms.allTeams,All Teams,All Teams,
Pro All + Instant Rollback·Amazon Policy·Market Share·Data Governance·SmartConnect Partner API·Influencer DB·Full Audit·Auto Reports.,1,pages.pricingDetail.ent_desc,Pro All + Instant Rollback·Amazon Policy·Market Share·Data Governance·SmartConnect Partner API·Influencer DB·Full Audit·Auto Reports.,Pro All + Instant Rollback·Amazon Policy·Market Share·Data Governance·SmartConnect Partner API·Influencer DB·Full Audit·Auto Reports.,
Ent_headline,1,pages.pricingDetail.ent_headline,Ent_headline,Ent_headline,
Writeback Instant Rollback (New),1,pages.pricingDetail.ent_s1,Writeback Instant Rollback (New),Writeback Instant Rollback (New),
Instant Rollback (Immediate Error Recovery),1,pages.pricingDetail.ent_s1i2,Instant Rollback (Immediate Error Recovery),Instant Rollback (Immediate Error Recovery),
Multi-Brand Auto Execution,1,pages.pricingDetail.ent_s1i3,Multi-Brand Auto Execution,Multi-Brand Auto Execution,
Full Rollback History View,1,pages.pricingDetail.ent_s1i4,Full Rollback History View,Full Rollback History View,
Amazon Advanced Operations (New),1,pages.pricingDetail.ent_s2,Amazon Advanced Operations (New),Amazon Advanced Operations (New),
Amazon Account Health Monitor,1,pages.pricingDetail.ent_s2i1,Amazon Account Health Monitor,Amazon Account Health Monitor,
Policy Compliance Management,1,pages.pricingDetail.ent_s2i2,Policy Compliance Management,Policy Compliance Management,
Full Review Monitoring,1,pages.pricingDetail.ent_s2i3,Full Review Monitoring,Full Review Monitoring,
Listing Quality Audit,1,pages.pricingDetail.ent_s2i4,Listing Quality Audit,Listing Quality Audit,
Market Intelligence (New),1,pages.pricingDetail.ent_s3,Market Intelligence (New),Market Intelligence (New),
Market Share Analysis,1,pages.pricingDetail.ent_s3i1,Market Share Analysis,Market Share Analysis,
Competitor Ad Tracking (AI),1,pages.pricingDetail.ent_s3i2,Competitor Ad Tracking (AI),Competitor Ad Tracking (AI),
Trend AI Forecast Model,1,pages.pricingDetail.ent_s3i3,Trend AI Forecast Model,Trend AI Forecast Model,
Channel Attribution All Models,1,pages.pricingDetail.ent_s3i4,Channel Attribution All Models,Channel Attribution All Models,
Conversion Path Analysis,1,pages.pricingDetail.ent_s3i5,Conversion Path Analysis,Conversion Path Analysis,
Data Product Governance (New),1,pages.pricingDetail.ent_s4,Data Product Governance (New),Data Product Governance (New),
Data Product Schema·Quality Metrics,1,pages.pricingDetail.ent_s4i1,Data Product Schema·Quality Metrics,Data Product Schema·Quality Metrics,
SLA Management·Owner Assignment,1,pages.pricingDetail.ent_s4i2,SLA Management·Owner Assignment,SLA Management·Owner Assignment,
API-based Data Streaming Export,1,pages.pricingDetail.ent_s4i3,API-based Data Streaming Export,API-based Data Streaming Export,
Event Normalization Full Mgmt,1,pages.pricingDetail.ent_s4i4,Event Normalization Full Mgmt,Event Normalization Full Mgmt,
OAuth Partner Management,1,pages.pricingDetail.ent_s4i5,OAuth Partner Management,OAuth Partner Management,
Advanced Data Mapping,1,pages.pricingDetail.ent_s4i6,Advanced Data Mapping,Advanced Data Mapping,
SmartConnect Partner API (New),1,pages.pricingDetail.ent_s5,SmartConnect Partner API (New),SmartConnect Partner API (New),
Partner-level Bidirectional Real-time Integration,1,pages.pricingDetail.ent_s5i1,Partner-level Bidirectional Real-time Integration,Partner-level Bidirectional Real-time Integration,
Full Real-time Sync Logs,1,pages.pricingDetail.ent_s5i2,Full Real-time Sync Logs,Full Real-time Sync Logs,
ERP·SCM·WMS Full Integration,1,pages.pricingDetail.ent_s5i3,ERP·SCM·WMS Full Integration,ERP·SCM·WMS Full Integration,
Custom Webhook Advanced Setup,1,pages.pricingDetail.ent_s5i4,Custom Webhook Advanced Setup,Custom Webhook Advanced Setup,
Advanced Marketing (New),1,pages.pricingDetail.ent_s6,Advanced Marketing (New),Advanced Marketing (New),
Full Influencer DB·Campaign Execution·Settlement,1,pages.pricingDetail.ent_s6i1,Full Influencer DB·Campaign Execution·Settlement,Full Influencer DB·Campaign Execution·Settlement,
Kakao Bizboard (Large-scale Ads),1,pages.pricingDetail.ent_s6i2,Kakao Bizboard (Large-scale Ads),Kakao Bizboard (Large-scale Ads),
WhatsApp Advanced Setup (Channel API),1,pages.pricingDetail.ent_s6i3,WhatsApp Advanced Setup (Channel API),WhatsApp Advanced Setup (Channel API),
LINE Channel Advanced Setup,1,pages.pricingDetail.ent_s6i4,LINE Channel Advanced Setup,LINE Channel Advanced Setup,
