locale,total_leaves,missing_vs_ko,extra_vs_ko,identical_to_ko,coverage_ratio
ko,"33,211",0,0,0,100.00%
en,"28,028","10,745","5,562","2,181",67.65%
ja,"22,175","13,802","2,766","5,055",58.44%
zh,"18,325","18,865","3,979","3,495",43.20%
zh-TW,"31,052","10,821","8,662","2,416",67.42%
es,"28,029","10,745","5,563","2,182",67.65%
fr,"28,029","10,745","5,563","2,182",67.65%
de,"29,988","10,706","7,483","2,461",67.76%
pt,"26,846","11,157","4,792","2,651",66.41%
ru,"26,846","11,157","4,792","2,651",66.41%
ar,"26,847","11,157","4,793","2,651",66.41%
hi,"26,846","11,157","4,792","2,651",66.41%
id,"32,553","10,975","10,317","2,412",66.95%
th,"32,509","10,976","10,274","2,396",66.95%
vi,"29,710","11,048","7,547","1,911",66.73%
