key,namespace_l2,value,locale_count,locales
dash.operations.marketing.csUnitCount,dash.operations,,4,"en,es,fr,de"
dash.operations.gBudget.title,dash.operations,Email Marketing,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.revenue,dash.operations,Estimated Revenue,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.adSpeed,dash.operations,Ad Spend Burned,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.remain,dash.operations,Remaining Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.kpi,dash.operations,Channel KPI,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.mgr,dash.operations,Mgr,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.inv,dash.operations,Inventory Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.tabMonthly,dash.operations,Tab Monthly,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.tabCard,dash.operations,Tab Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.tabAi,dash.operations,Tab Ai,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.totalAlloc,dash.operations,Total Allocated Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.totalSpent,dash.operations,Total Spent Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.remainBudget,dash.operations,Remaining Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.chCount,dash.operations,Active Channels,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.lowBudget,dash.operations,Low Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.spentTxt,dash.operations,Spent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.enterAmt,dash.operations,Enter budget to execute,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.execute,dash.operations,Execute,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cancel,dash.operations,Cancel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.execAdSpend,dash.operations,Ad Spend Execution,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.perfTitle,dash.operations,Channel Performance Detail,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colChannel,dash.operations,Channel,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colSpent,dash.operations,Spent Amount,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colRemain,dash.operations,Remaining Amount,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colTrgt,dash.operations,Target ROAS,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colAct,dash.operations,Actual ROAS,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colBurn,dash.operations,Burn Rate,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colStat,dash.operations,Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.below,dash.operations,Below Target,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.annualTotal,dash.operations,Annual Total Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cumulSpent,dash.operations,Cumulative Spent,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.adTotal,dash.operations,Channel Total Budget,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.monthlyStatus,dash.operations,Monthly Budget Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.pending,dash.operations,Pending,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cTitle,dash.operations,Ad Payment Card Management,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cDefault,dash.operations,Default Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cSetDef,dash.operations,Set as Default,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cRem,dash.operations,Delete,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cNoCard,dash.operations,No registered payment cards.,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cReg,dash.operations,Register New Payment Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.fAlias,dash.operations,Card Alias,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.fNum,dash.operations,Card Number,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cNet,dash.operations,Card Type,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.btnReg,dash.operations,Register Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.btnAdd,dash.operations,Add Payment Card,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cAdded,dash.operations,Card registered!,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.monLimit,dash.operations,Monthly Limit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
