key,namespace_l2,locale_count,sample_value,locales
dash.operations.marketing.csStatusApproved,dash.operations,12,Approved,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csStatusReview,dash.operations,12,In Review,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csUseCampaign,dash.operations,12,Use in Campaign,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csAiGenTitle,dash.operations,12,AI Creative Generator,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csAiGenDesc,dash.operations,12,"Select category and channel, and AI will auto-generate optimized ad creatives.","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csStartFromSetup,dash.operations,12,Start from Campaign Setup,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeCarouselDesc,dash.operations,12,Multi-image slide composition,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeVideo,dash.operations,12,Video Ad,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeVideoDesc,dash.operations,12,15-60s short-form auto-creation,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeBanner,dash.operations,12,Banner Ad,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeBannerDesc,dash.operations,12,Responsive display banner,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeStoryDesc,dash.operations,12,9:16 vertical fullscreen,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeShoppingDesc,dash.operations,12,Product feed DPA creative,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeMessageDesc,dash.operations,12,KakaoTalk·LINE templates,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csPerfEffScore,dash.operations,12,Creative Efficiency,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csPerfTable,dash.operations,12,Creative Performance Table,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csColName,dash.operations,12,Creative,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csAiOptTitle,dash.operations,12,AI Creative Optimization,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csAiOpt1,dash.operations,12,Video CTR is 1.5x higher than carousel. Increase video ratio.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csAiOpt2,dash.operations,12,TikTok short-form has highest conversion. Create more 15s content.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csAiOpt3,dash.operations,12,Creatives older than 2 weeks show ad fatigue. Replace them.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csBrandTitle,dash.operations,12,Brand Asset Management,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csBrandDesc,dash.operations,12,Consistent creative management per brand guidelines,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csUploadAsset,dash.operations,12,Upload Asset,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csPreview,dash.operations,12,Preview,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csDownload,dash.operations,12,Download,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csBrandCheck,dash.operations,12,Brand Consistency Check,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csColorComp,dash.operations,12,Color Compliance,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csFontComp,dash.operations,12,Font Consistency,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csGuideViolation,dash.operations,12,Guideline Violations,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csLastSync,dash.operations,12,Last sync: just now,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csFmtVideo,dash.operations,12,Video,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csFmtBanner,dash.operations,12,Banner,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.guideTabGuideDesc,dash.operations,12,Step-by-step guide to platform features and complete workflow.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.abSetup,dash.operations,12,⚙ Campaign Setup,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.alertNewApproval,dash.operations,12,Approval request for new marketing campaign has been submitted.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.alertSelectCatCh,dash.operations,12,Please select at least one category and ad channel.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.alertSimulateError,dash.operations,12,AI strategy simulation failed. Please try again.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.approvalSubtitle,dash.operations,12,Review & Approve Marketing Strategy,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.approvalWarning1,dash.operations,12,"⚠ Once approved, ads will run automatically on the selected channels. Please car","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.approvalWarning2,dash.operations,12,"📊 After approval, you can check real-time performance in Campaign Manager.","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.defaultCampSuffix,dash.operations,12,Campaign,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.submitApprovalBtn,dash.operations,12,📋 Submit Approval,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.reason1,dash.operations,12,📈 Optimized based on past campaign data,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.reason2,dash.operations,12,🎯 Customized channel selection based on target audience,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.reason3,dash.operations,12,💰 AI-optimized budget allocation for maximum ROI,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.reason4,dash.operations,12,⏱ Optimal campaign schedule selected,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.reason5,dash.operations,12,🧠 AI-recommended creative direction,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.tier1,dash.operations,12,🏆 Premium (300M+ KRW),"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.tier2,dash.operations,12,🥇 Enterprise (50M+ KRW),"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.tier3,dash.operations,12,🥈 Growth (10M+ KRW),"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.tier4,dash.operations,12,🥉 Starter (3M+ KRW),"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.tier5,dash.operations,12,📦 Free,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.subtitle,dash.operations,12,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.tabChannel,dash.operations,12,📡 Channel Integration,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.achieved,dash.operations,12,Achieved ✓,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.fLim,dash.operations,12,Monthly Limit (₩),"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.d1,dash.operations,12,📌 Demo mode: Budget changes only apply on paid plans.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.d2,dash.operations,12,📌 Demo mode: Ad spend execution only on paid plans.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.d3,dash.operations,12,📌 Demo mode: Real cards only on paid plans. Virtual cards used.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.crm,dash.operations,12,Customer · CRM,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.rollup,dash.operations,12,Rollup Overview,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.influencer,dash.operations,12,Influencer · UGC,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conTabPlat,dash.operations,12,🔌 Platform Integration,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conTabDw,dash.operations,12,🔷 Data Warehouse,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbLib,dash.operations,12,📊 Widget Library,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbTitle,dash.operations,12,🛠️ Custom Report Builder,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaTitle,dash.operations,12,🔔 Real-time Alerts & Collaboration,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaTeamAnn,dash.operations,12,💬 Team Comments & Annotations,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihTitle,dash.operations,12,🔗 Direct Integration Hub,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihConnected,dash.operations,12,🟢 Connected,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conHeroTitle,dash.operations,12,🔌 Connector Hub,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conHeroDesc,dash.operations,12,Channel Integration · API Integration · Real-time Sync,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conTabPlatform,dash.operations,12,📡 Platform,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.noData,dash.operations,12,No data available.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusConfirmed,dash.operations,12,Confirmed,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.kpiAllOrders,dash.operations,12,Total Orders,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.searchPlaceholder,dash.operations,12,"Search order ID, buyer, product...","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.allChannels,dash.operations,12,All Channels,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colBuyer,dash.operations,12,Buyer,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.labelBuyer,dash.operations,12,Buyer,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.settleColFee,dash.operations,12,Platform Fee,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.intlEstDuty,dash.operations,12,Est. Duty,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.claimReturn,dash.operations,12,Return,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.settingsAutoCollectDesc,dash.operations,12,Automatically collects order data in real-time from connected channels.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.settingsSlaMonitor,dash.operations,12,SLA Monitoring,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.settingsSlaMonitorDesc,dash.operations,12,Monitors channel-specific SLA fulfillment deadlines and alerts on violations.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.settingsNotifDesc,dash.operations,12,"Sends Slack/Email alerts for new orders, claims, and SLA violations.","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.goBack,topbar.goBack,12,← Back,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.fullManual,topbar.fullManual,12,📚 View Full Manual →,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.dataFrom,topbar.dataFrom,12,📥 Data Sources,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.provides,topbar.provides,12,📊 What This Page Provides,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.howToUse,topbar.howToUse,12,📋 How to Use,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.canDo,topbar.canDo,12,🎯 What You Can Do,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.helpFooter,topbar.helpFooter,12,Geniego-ROI v423 · Contact admin for support,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.onboarding.guideRolesTitle,pages.onboarding,14,Role Path Guide,"en,ja,zh,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.onboarding.changeRole,pages.onboarding,14,Change Role,"en,ja,zh,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.onboarding.minElapsed,pages.onboarding,14, min elapsed,"en,ja,zh,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.onboarding.goal30min,pages.onboarding,14,Goal 30 min,"en,ja,zh,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.onboarding.progressLabel,pages.onboarding,14,Progress,"en,ja,zh,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
