key,namespace_l2,locale_count,sample_value,locales
dash.operations.marketing.csFilterAll,dash.operations,12,All,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csStatusActive,dash.operations,12,Active,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csConv,dash.operations,12,Conv.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeCarousel,dash.operations,12,Carousel Ad,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeStory,dash.operations,12,Story Ad,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeShopping,dash.operations,12,Shopping Ad,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csTypeMessage,dash.operations,12,Message Ad,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csPerfAvgCtr,dash.operations,12,Avg CTR,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csPerfAvgConv,dash.operations,12,Avg Conv Rate,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csPerfTotalConv,dash.operations,12,Total Conversions,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csColFormat,dash.operations,12,Format,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csColPlatform,dash.operations,12,Platform,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csColStatus,dash.operations,12,Status,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csLogoComp,dash.operations,12,Logo Usage,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csFmtCarousel,dash.operations,12,Carousel,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.marketing.csFmtShort,dash.operations,12,Short-form,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.chAllocTitle,dash.operations,12,Budget Allocation & Burn Rate by Channel,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.colBudget,dash.operations,12,Budget,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.liveData,dash.operations,12,Global Data Context Integration,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.lblBudget,dash.operations,12,Budget,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cDesc1,dash.operations,12,Registered cards are used for auto-execution after AI marketing proposal approva,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cDesc2,dash.operations,12,Default card is used for auto-charging within approved ad budget limits.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cNoCard2,dash.operations,12,Please add a card for automatic ad execution.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.fExp,dash.operations,12,Expiry Date,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.cSecure,dash.operations,12,Card info is encrypted; CVC is not stored.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.e1,dash.operations,12,Please enter a valid card number.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gBudget.e2,dash.operations,12,Enter expiry date in MM/YY format.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.home,dash.operations,12,Home,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.aiMarketing,dash.operations,12,AI Marketing Automation,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.adAnalytics,dash.operations,12,Ad & Channel Analytics,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.commerce,dash.operations,12,Commerce & Settlement,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.analytics,dash.operations,12,Analytics,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.automation,dash.operations,12,Automation & AI Rules,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.data,dash.operations,12,Data & Collection,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.finance,dash.operations,12,Finance & Settlement,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.memberTools,dash.operations,12,Member Tools,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.adminSystem,dash.operations,12,System Admin,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.autoMarketing,dash.operations,12,AI Auto Marketing,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.campaignManager,dash.operations,12,Campaign Manager,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.attribution,dash.operations,12,Attribution,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.orderHub,dash.operations,12,Order Hub,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.wms,dash.operations,12,WMS Manager,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.priceOpt,dash.operations,12,Price Optimization,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.supplyChain,dash.operations,12,Supply Chain,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.returnsPortal,dash.operations,12,Returns Portal,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.reportBuilder,dash.operations,12,Report Builder,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.pnl,dash.operations,12,PnL Analytics,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.integrationHub,dash.operations,12,Integration Hub,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.caseStudy,dash.operations,12,Case Study,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.systemMonitor,dash.operations,12,Server Monitor,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.normal,dash.operations,12,Normal,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.gNav.performance,dash.operations,12,Performance Center,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conDesc,dash.operations,12,"Manage OAuth 2.0 and API Key integration, permission scopes, token auto-renewal,","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conKpiAll,dash.operations,12,All Channels,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conKpiConn,dash.operations,12,Integration Complete,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbKpi,dash.operations,12,Core KPI Summary Box,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.kpiRev,dash.operations,12,Total Revenue,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbUnknown,dash.operations,12,Rb Unknown,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbDragDesc,dash.operations,12,Drag these components to the canvas.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbDropHere,dash.operations,12,Drag and drop widgets here,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.rbPageDesc,dash.operations,12,Enterprise-grade drag-and-drop dashboard studio. Create unlimited custom views.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaDesc,dash.operations,12,Set up Slack/Teams alert rules and manage dashboard communications.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.aaAddCmt,dash.operations,12,Add a comment to the current view...,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihCafeDesc,dash.operations,12,"Orders, customer info, item-level sales integration","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihShopifyDesc,dash.operations,12,Global sales and LTV integration,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihSfDesc,dash.operations,12,B2B prospect and CRM data integration,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihSlackDesc,dash.operations,12,ROAS decline alert channel transmission,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.ihDesc,dash.operations,12,OAuth2-based one-click integration ecosystem. Integrate all data sources instant,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conStatErr,dash.operations,12,Error,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conKpiConnected,dash.operations,12,Connected Channels,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conFltDiscon,dash.operations,12,Not Connected,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.emptyDesc,dash.operations,12,Connect channels in Integration Hub to auto-collect,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.autoFeeDesc,dash.operations,12,Standard rates applied automatically on connection,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.pageDesc,dash.operations,12,"Track real settlement amounts, fees","en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusPaid,dash.operations,12,Paid,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusPreparing,dash.operations,12,Preparing,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusShipping,dash.operations,12,Shipping,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusDelivered,dash.operations,12,Delivered,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusSettled,dash.operations,12,Settled,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.statusProcessing,dash.operations,12,Processing,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.kpiTodayNew,dash.operations,12,Today New,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.kpiShippedDone,dash.operations,12,Shipped/Done,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.kpiClaimCount,dash.operations,12,Claims,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.allStatus,dash.operations,12,All Status,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colOrderNo,dash.operations,12,Order No.,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colChannel,dash.operations,12,Channel,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colProduct,dash.operations,12,Product,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colQty,dash.operations,12,Qty,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colTotal,dash.operations,12,Total,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colNote,dash.operations,12,Note,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
