key,l3_namespace,value,locale_count,locales
crm.contentCal.yearSuffix,crm.contentCal.yearSuffix,",",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.unitCount,crm.contentCal.reviews,",",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sentiment_,crm.contentCal.reviews,Sentiment,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.riskStatus.danger,crm.contentCal.reviews,Danger,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.riskStatus.caution,crm.contentCal.reviews,Caution,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.riskStatus.normal,crm.contentCal.reviews,Normal,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.providerNhnDesc,crm.contentCal.reviews,NHN Cloud bizMessage service,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.providerAligoDesc,crm.contentCal.reviews,Leading Korean SMS service,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.providerCoolDesc,crm.contentCal.reviews,Developer-friendly SMS API,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.apiKeySettings,crm.contentCal.reviews,API Key Settings,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.senderNumber,crm.contentCal.reviews,Sender Number,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.connectTesting,crm.contentCal.reviews,Testing connection...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.saveAndTest,crm.contentCal.reviews,Save & Test,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.connectSuccess,crm.contentCal.reviews,Connected,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.balance,crm.contentCal.reviews,Balance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.composeTitle,crm.contentCal.reviews,Send SMS,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.recipientNumber,crm.contentCal.reviews,Recipient Number,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.type,crm.contentCal.reviews,Type,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.charCount,crm.contentCal.reviews,Characters,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.charUnit,crm.contentCal.reviews, chars,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.capacity,crm.contentCal.reviews,Capacity,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.messageContent,crm.contentCal.reviews,Message Content,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.messagePlaceholder,crm.contentCal.reviews,Enter your message...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.send,crm.contentCal.reviews,Send,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.sendComplete,crm.contentCal.reviews,Sent successfully,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.sendFailed,crm.contentCal.reviews,Send failed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.broadcastTitle,crm.contentCal.reviews,Bulk Broadcast,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.numberList,crm.contentCal.reviews,Number List,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.numbersCount,crm.contentCal.reviews,numbers,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.broadcastMsgPlaceholder,crm.contentCal.reviews,Enter broadcast message...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.sending,crm.contentCal.reviews,Sending...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.startBroadcast,crm.contentCal.reviews,Start Broadcast,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.done,crm.contentCal.reviews,Complete,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.success,crm.contentCal.reviews,Success,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.countUnit,crm.contentCal.reviews,",",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.total,crm.contentCal.reviews,Total,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplAll,crm.contentCal.reviews,All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplSearch,crm.contentCal.reviews,Search templates...,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplNew,crm.contentCal.reviews,New Template,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplEdit,crm.contentCal.reviews,Edit Template,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCreate,crm.contentCal.reviews,Create Template,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplName,crm.contentCal.reviews,Template Name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplNamePh,crm.contentCal.reviews,Enter name,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplCategory,crm.contentCal.reviews,Category,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.reviews.sms.tplBody,crm.contentCal.reviews,Message Body,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
