leaf,parent_count,parent,full_key,usage_count,sample_files
influencerUGC.txt_SearchResultNo_24,4,pages.marketingIntel.aiPredict,pages.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,0,
influencerUGC.txt_SearchResultNo_24,4,pages.marketingIntel,pages.marketingIntel.influencerUGC.txt_SearchResultNo_24,0,
influencerUGC.txt_SearchResultNo_24,4,pages.marketingIntel.marketingIntel.aiPredict,pages.marketingIntel.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,0,
influencerUGC.txt_SearchResultNo_24,4,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.influencerUGC.txt_SearchResultNo_24,0,
tabs.globalRevenue,2,pages.marketingIntel,pages.marketingIntel.tabs.globalRevenue,0,
tabs.globalRevenue,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.globalRevenue,0,
tabs.avgGrowth,2,pages.marketingIntel,pages.marketingIntel.tabs.avgGrowth,0,
tabs.avgGrowth,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.avgGrowth,0,
tabs.topMarket,2,pages.marketingIntel,pages.marketingIntel.tabs.topMarket,0,
tabs.topMarket,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.topMarket,0,
tabs.activeCountries,2,pages.marketingIntel,pages.marketingIntel.tabs.activeCountries,0,
tabs.activeCountries,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.activeCountries,0,
tabs.channelPerf,2,pages.marketingIntel,pages.marketingIntel.tabs.channelPerf,0,
tabs.channelPerf,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.channelPerf,0,
tabs.growthRate,2,pages.marketingIntel,pages.marketingIntel.tabs.growthRate,0,
tabs.growthRate,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.growthRate,0,
tabs.popularProducts,2,pages.marketingIntel,pages.marketingIntel.tabs.popularProducts,0,
tabs.popularProducts,2,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.popularProducts,0,
contentCal.yearSuffix,2,crm,crm.contentCal.yearSuffix,0,
contentCal.yearSuffix,2,crm.contentCal.catalogSync,crm.contentCal.catalogSync.contentCal.yearSuffix,0,
reviews.unitCount,2,crm.contentCal,crm.contentCal.reviews.unitCount,0,
reviews.unitCount,2,pages.marketingIntel.influencer,pages.marketingIntel.influencer.reviews.unitCount,0,
