key,l3_namespace,value,locale_count,locales
pages.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.aiPredict,Txt_ Search Result No_24,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.influencerUGC,Txt_ Search Result No_24,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.globalRevenue,pages.marketingIntel.tabs,Global Sales,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.avgGrowth,pages.marketingIntel.tabs,Avg Growth,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.topMarket,pages.marketingIntel.tabs,Top Market,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.activeCountries,pages.marketingIntel.tabs,Active Countries,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.channelPerf,pages.marketingIntel.tabs,Channel Performance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.growthRate,pages.marketingIntel.tabs,Growth Rate,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.tabs.popularProducts,pages.marketingIntel.tabs,Popular Products,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.influencer.colFollowers,pages.marketingIntel.influencer,Followers,14,"en,ja,zh,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.marketingIntel,Txt_ Search Result No_24,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.marketingIntel.influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.marketingIntel,Txt_ Search Result No_24,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.marketingIntel.marketingIntel.tabs.globalRevenue,pages.marketingIntel.marketingIntel,Global Sales,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
